sentence;spam
Truth in advertising and dinosaurs with skateboards have much in common.;0
Nothing is as cautiously cuddly as a pet porcupine.;0
Nobody has encountered an explosive daisy and lived to tell the tale.;0
Iron pyrite is the most foolish of all minerals.;0
A suit of armor provides excellent sun protection on hot days.;0
I am my aunt's sister's daughter.;0
Wisdom is easily acquired when hiding under the bed with a saucepan on your head.;0
Everybody should read Chaucer to improve their everyday vocabulary.;0
He is no James Bond, his name is Roger Moore.;0
I like to leave work after my eight-hour tea-break.;0
Getting up at dawn is for the birds.;0
If eating three-egg omelets causes weight-gain, budgie eggs are a good substitute.;0
Shakespeare was a famous 17th-century diesel mechanic.;0
Hit me with your pet shark!;0
The Japanese yen for commerce is still well-known.;0
The Guinea fowl flies through the air with all the grace of a turtle.;0
Fluffy pink unicorns are a popular status symbol among macho men.;0
She cried diamonds.;0
Dan took the deep dive down the rabbit hole.;0
Erin accidentally created a new universe.;0
The door slammed on the watermelon.;0
Eating eggs on Thursday for choir practice was recommended.;0
Pink horses galloped across the sea.;0
Flying fish flew by the space station.;0
He colored deep space a soft yellow.;0
Dan ate the clouds like cotton candy.;0
He found a leprechaun in his walnut shell.;0
Bill ran from the giraffe toward the dolphin.;0
It didn't make sense unless you had the power to eat colors.;0
Patricia loves the sound of nails strongly pressed against the chalkboard.;0
He didn't understand why the bird wanted to ride the bicycle.;0
Garlic ice-cream was her favorite.;0
Smoky the Bear secretly started the fires.;0
Pat ordered a ghost pepper pie.;0
You have every right to be angry, but that doesn't give you the right to be mean.;0
Andy loved to sleep on a bed of nails.;0
Her daily goal was to improve on yesterday.;0
She had a habit of taking showers in lemonade.;0
The elephant didn't want to talk about the person in the room.;0
The skeleton had skeletons of his own in the closet.;0
Even with the snow falling outside, she felt it appropriate to wear her bikini.;0
He was sure the Devil created red sparkly glitter.;0
He wore the surgical mask in public not to keep from catching a virus, but to keep people away from him.;0
Doris enjoyed tapping her nails on the table to annoy everyone.;0
Nobody questions who built the pyramids in Mexico.;0
He figured a few sticks of dynamite were easier than a fishing pole to catch fish.;0
When money was tight, he'd get his lunch money from the local wishing well.;0
The father died during childbirth.;0
Plans for this weekend include turning wine into water.;0
Iguanas were falling out of the trees.;0
I covered my friend in baby oil.;0
Art doesn't have to be intentional.;0
Now I need to ponder my existence and ask myself if I'm truly real;0
We should play with legos at camp.;0
I’m a living furnace.;0
Please tell me you don't work in a morgue.;0
We have young kids who often walk into our room at night for various reasons including clowns in the closet.;0
8% of 25 is the same as 25% of 8 and one of them is much easier to do in your head.;0
You bite up because of your lower jaw.;0
Most shark attacks occur about 10 feet from the beach since that's where the people are.;0
I’m working on a sweet potato farm.;0
David subscribes to the stuff your tent into the bag strategy over nicely folding it.;0
He invested some skill points in Charisma and Strength.;0
I'm a great listener, really good with empathy vs sympathy and all that, but I hate people.;0
He excelled at firing people nicely.;0
When I cook spaghetti, I like to boil it a few minutes past al dente so the noodles are super slippery.;0
Joyce enjoyed eating pancakes with ketchup.;0
She was sad to hear that fireflies are facing extinction due to artificial light, habitat loss, and pesticides.;0
He decided that the time had come to be stronger than any of the excuses he'd used until then.;0
The door swung open to reveal pink giraffes and red elephants.;0
She traveled because it cost the same as therapy and was a lot more enjoyable.;0
The paintbrush was angry at the color the artist chose to use.;0
The bees decided to have a mutiny against their queen.;0
His ultimate dream fantasy consisted of being content and sleeping eight hours in a row.;0
She looked into the mirror and saw another person.;0
There aren't enough towels in the world to stop the sewage flowing from his mouth.;0
He had a vague sense that trees gave birth to dinosaurs.;0
The doll spun around in circles in hopes of coming alive.;0
Grape jelly was leaking out the hole in the roof.;0
Chocolate covered crickets were his favorite snack.;0
The secret code they created made no sense, even to them.;0
Three years later, the coffin was still full of Jello.;0
His mind was blown that there was nothing in space except space itself.;0
They're playing the piano while flying in the plane.;0
The hand sanitizer was actually clear glue.;0
The lyrics of the song sounded like fingernails on a chalkboard.;0
It took him a month to finish the meal.;0
Seek success, but always be prepared for random cats.;0
Having no hair made him look even hairier.;0
He poured rocks in the dungeon of his mind.;0
The blue parrot drove by the hitchhiking mongoose.;0
Happiness can be found in the depths of chocolate pudding.;0
There are no heroes in a punk rock band.;0
He shaved the peach to prove a point.;0
Peanuts don't grow on trees, but cashews do.;0
It's difficult to understand the lengths he'd go to remain short.;0
He created a pig burger out of beef.;0
His thought process was on so many levels that he gave himself a phobia of heights.;0
He liked to play with words in the bathtub.;0
There were three sphered rocks congregating in a cubed room.;0
There was no telling what thoughts would come from the machine.;0
He put heat on the wound to see what would grow.;0
She used her own hair in the soup to give it more flavor.;0
Sometimes you have to just give up and win by cheating.;0
The toy brought back fond memories of being lost in the rain forest.;0
She couldn't decide of the glass was half empty or half full so she drank it.;0
He wasn't bitter that she had moved on but from the radish.;0
He had decided to accept his fate of accepting his fate.;0
The clouds formed beautiful animals in the sky that eventually created a tornado to wreak havoc.;0
The swirled lollipop had issues with the pop rock candy.;0
He picked up trash in his spare time to dump in his neighbor's yard.;0
The fish dreamed of escaping the fishbowl and into the toilet where he saw his friend go.;0
It was a really good Monday for being a Saturday.;0
Greetings from the galaxy MACS0647-JD, or what we call home.;0
He was surprised that his immense laziness was inspirational to others.;0
He had unknowingly taken up sleepwalking as a nighttime hobby.;0
He spiked his hair green to support his iguana.;0
The fifty mannequin heads floating in the pool kind of freaked them out.;0
Although it wasn't a pot of gold, Nancy was still enthralled at what she found at the end of the rainbow.;0
After fighting off the alligator, Brian still had to face the anaconda.;0
It didn't take long for Gary to detect the robbers were amateurs.;0
He embraced his new life as an eggplant.;0
Karen realized the only way she was getting into heaven was to cheat.;0
He loved eating his bananas in hot dog buns.;0
Thirty years later, she still thought it was okay to put the toilet paper roll under rather than over.;0
Facing his greatest fear, he ate his first marshmallow.;0
He found his art never progressed when he literally used his sweat and tears.;0
Nancy was proud that she ran a tight shipwreck.;0
It took him a while to realize that everything he decided not to change, he was actually choosing.;0
It was difficult for Mary to admit that most of her workout consisted of exercising poor judgment.;0
Jason lived his life by the motto, Anything worth doing is worth doing poorly.;0
David proudly graduated from high school top of his class at age 97.;0
The murder hornet was disappointed by the preconceived ideas people had of him.;0
The two walked down the slot canyon oblivious to the sound of thunder in the distance.;0
She was amazed by the large chunks of ice washing up on the beach.;0
Gary didn't understand why Doug went upstairs to get one dollar bills when he invited him to go cow tipping.;0
The beach was crowded with snow leopards.;0
As the asteroid hurtled toward earth, Becky was upset her dentist appointment had been canceled.;0
She looked at the masterpiece hanging in the museum but all she could think is that her five-year-old could do better.;0
The white water rafting trip was suddenly halted by the unexpected brick wall.;0
She always had an interesting perspective on why the world must be flat.;0
The sudden rainstorm washed crocodiles into the ocean.;0
Harrold felt confident that nobody would ever suspect his spy pigeon.;0
He knew it was going to be a bad day when he saw mountain lions roaming the streets.;0
He decided to fake his disappearance to avoid jail.;0
He ended up burning his fingers poking someone else's fire.;0
She had a difficult time owning up to her own crazy self.;0
She was too busy always talking about what she wanted to do to actually do any of it.;0
She had that tint of craziness in her soul that made her believe she could actually make a difference.;0
He kept telling himself that one day it would all somehow make sense.;0
She moved forward only because she trusted that the ending she now was going through must be followed by a new beginning.;0
While all her friends were positive that Mary had a sixth sense, she knew she actually had a seventh sense.;0
He had a wall full of masks so she could wear a different face every day.;0
The group quickly understood that toxic waste was the most effective barrier to use against the zombies.;0
There have been days when I wished to be separated from my body, but today wasn’t one of those days.;0
To the surprise of everyone, the Rapture happened yesterday but it didn't quite go as expected.;0
The bullet pierced the window shattering it before missing Danny's head by mere millimeters.;0
The complicated school homework left the parents trying to help their kids quite confused.;0
Too many prisons have become early coffins.;0
The external scars tell only part of the story.;0
Excitement replaced fear until the final moment.;0
The tattered work gloves speak of the many hours of hard labor he endured throughout his life.;0
The hummingbird's wings blurred while it eagerly sipped the sugar water from the feeder.;0
Poison ivy grew through the fence they said was impenetrable.;0
Watching the geriatric men’s softball team brought back memories of 3 yr olds playing t-ball.;0
The teens wondered what was kept in the red shed on the far edge of the school grounds.;0
He strives to keep the best lawn in the neighborhood.;0
The spa attendant applied the deep cleaning mask to the gentleman’s back.;0
Shingle color was not something the couple had ever talked about.;0
The sunblock was handed to the girl before practice, but the burned skin was proof she did not apply it.;0
The virus had powers none of us knew existed.;0
A quiet house is nice until you are ordered to stay in it for months.;0
As time wore on, simple dog commands turned into full paragraphs explaining why the dog couldn’t do something.;0
Mothers spend months of their lives waiting on their children.;0
The team members were hard to tell apart since they all wore their hair in a ponytail.;0
She learned that water bottles are no longer just to hold liquid, but they're also status symbols.;0
Their argument could be heard across the parking lot.;0
Giving directions that the mountains are to the west only works when you can see them.;0
Traveling became almost extinct during the pandemic.;0
It was obvious she was hot, sweaty, and tired.;0
The Great Dane looked more like a horse than a dog.;0
He played the game as if his life depended on it and the truth was that it did.;0
It's not possible to convince a monkey to give you a banana by promising it infinite bananas when they die.;0
He went on a whiskey diet and immediately lost three days.;0
He watched the dancing piglets with panda bear tummies in the swimming pool.;0
Martha came to the conclusion that shake weights are a great gift for any occasion.;0
She had convinced her kids that any mushroom found on the ground would kill them if they touched it.;0
As she walked along the street and looked in the gutter, she realized facemasks had become the new cigarette butts.;0
Mary realized if her calculator had a history, it would be more embarrassing than her computer browser history.;0
The tree fell unexpectedly short.;0
